Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
438674_Human_45_45,438674_Human_45_45,DEU,Human,Human,45,ST45,45,CC45
438675_Human_30_30,438675_Human_30_30,DEU,Human,Human,30,ST30,30,CC30
438677_Human_225_5,438677_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
438678_Human_7_7,438678_Human_7_7,DEU,Human,Human,7,ST7,7,CC7
438681_Human_22_22,438681_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
4386810_Human_20_20,4386810_Human_20_20,DEU,Human,Human,20,ST20,20,CC20
4386811_Human_22_22,4386811_Human_22_22,DEU,Human,Human,22,ST22,22,CC22
438682_Human_225_5,438682_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
438683_Human_582_15,438683_Human_582_15,DEU,Human,Human,582,ST582,15,CC15
438684_Human_5_5,438684_Human_5_5,DEU,Human,Human,5,ST5,5,CC5
438685_Human_228_5,438685_Human_228_5,DEU,Human,Human,228,ST228,5,CC5
438687_Human_225_5,438687_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
438688_Human_1_1,438688_Human_1_1,DEU,Human,Human,1,ST1,1,CC1
439521_Human_22_22,439521_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
4395210_Human_22_22,4395210_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
4395211_Human_5_5,4395211_Human_5_5,PRT,Human,Human,5,ST5,5,CC5
4395212_Human_22_22,4395212_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
439522_Human_105_5,439522_Human_105_5,PRT,Human,Human,105,ST105,5,CC5
439523_Human_15_15,439523_Human_15_15,PRT,Human,Human,15,ST15,15,CC15
439525_Human_22_22,439525_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
439526_Human_22_22,439526_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
439527_Human_5_5,439527_Human_5_5,PRT,Human,Human,5,ST5,5,CC5
439528_Human_121_121,439528_Human_121_121,PRT,Human,Human,121,ST121,121,CC121
439529_Human_5_5,439529_Human_5_5,PRT,Human,Human,5,ST5,5,CC5
439531_Human_146_5,439531_Human_146_5,ESP,Human,Human,146,ST146,5,CC5
4395310_Human_125_5,4395310_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
4395311_Human_45_45,4395311_Human_45_45,ESP,Human,Human,45,ST45,45,CC45
4395312_Human_125_5,4395312_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
439533_Human_36_30,439533_Human_36_30,ESP,Human,Human,36,ST36,30,CC30
439534_Human_228_5,439534_Human_228_5,ESP,Human,Human,228,ST228,5,CC5
439535_Human_125_5,439535_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
439536_Human_125_5,439536_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
439537_Human_1_1,439537_Human_1_1,ESP,Human,Human,1,ST1,1,CC1
439538_Human_NA_5,439538_Human_2870_5,ESP,Human,Human,2870,ST2870,5,CC5
439539_Human_123_123,439539_Human_123_123,ESP,Human,Human,123,ST123,123,CC123
441411_Human_30_30,441411_Human_30_30,ITA,Human,Human,30,ST30,30,CC30
4414110_Human_NA_1,4414110_Human_1_1,ITA,Human,Human,1,ST1,1,CC1
4414112_Human_101_101,4414112_Human_101_101,ITA,Human,Human,101,ST101,101,CC101
441412_Human_5_5,441412_Human_5_5,ITA,Human,Human,5,ST5,5,CC5
441413_Human_30_30,441413_Human_30_30,ITA,Human,Human,30,ST30,30,CC30
441415_Human_228_5,441415_Human_228_5,ITA,Human,Human,228,ST228,5,CC5
441416_Human_7_7,441416_Human_7_7,ITA,Human,Human,7,ST7,7,CC7
441418_Human_12_12,441418_Human_12_12,ITA,Human,Human,12,ST12,12,CC12
441421_Human_30_30,441421_Human_30_30,POL,Human,Human,30,ST30,30,CC30
4414210_Human_45_45,4414210_Human_45_45,POL,Human,Human,45,ST45,45,CC45
4414212_Human_22_22,4414212_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
441422_Human_5_5,441422_Human_5_5,POL,Human,Human,5,ST5,5,CC5
441423_Human_22_22,441423_Human_22_22,PRT,Human,Human,22,ST22,22,CC22
441424_Human_30_30,441424_Human_30_30,PRT,Human,Human,30,ST30,30,CC30
441425_Human_5_5,441425_Human_5_5,POL,Human,Human,5,ST5,5,CC5
441426_Human_45_45,441426_Human_45_45,POL,Human,Human,45,ST45,45,CC45
441427_Human_241_8,441427_Human_241_8,POL,Human,Human,241,ST241,8,CC8
441428_Human_5_5,441428_Human_5_5,POL,Human,Human,5,ST5,5,CC5
441429_Human_109_109,441429_Human_109_9,PRT,Human,Human,109,ST109,9,CC9
441431_Human_35_15,441431_Human_35_15,SWE,Human,Human,35,ST35,15,CC15
4414310_Human_45_45,4414310_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
4414311_Human_45_45,4414311_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
4414312_Human_45_45,4414312_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441432_Human_150_88,441432_Human_2881_88,SWE,Human,Human,2881,ST2881,88,CC88
441433_Human_45_45,441433_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441434_Human_395_45,441434_Human_395_45,SWE,Human,Human,395,ST395,45,CC45
441435_Human_15_15,441435_Human_15_15,SWE,Human,Human,15,ST15,15,CC15
441436_Human_NA_15,441436_Human_NA_15,SWE,Human,Human,na,STna,15,CC15
441437_Human_NA_30,441437_Human_34_30,SWE,Human,Human,34,ST34,30,CC30
441438_Human_8_8,441438_Human_8_8,SWE,Human,Human,8,ST8,8,CC8
441439_Human_8_8,441439_Human_8_8,SWE,Human,Human,8,ST8,8,CC8
441451_Human_15_15,441451_Human_15_15,SWE,Human,Human,15,ST15,15,CC15
4414510_Human_45_45,4414510_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
4414511_Human_30_30,4414511_Human_30_30,SWE,Human,Human,30,ST30,30,CC30
4414512_Human_15_15,4414512_Human_15_15,SWE,Human,Human,15,ST15,15,CC15
441452_Human_12_12,441452_Human_12_12,SWE,Human,Human,12,ST12,12,CC12
441453_Human_NA_30,441453_Human_2879_30,SWE,Human,Human,2879,ST2879,30,CC30
441454_Human_45_45,441454_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441455_Human_22_22,441455_Human_22_22,SWE,Human,Human,22,ST22,22,CC22
441456_Human_45_45,441456_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441457_Human_5_5,441457_Human_5_5,SWE,Human,Human,5,ST5,5,CC5
441458_Human_46_45,441458_Human_46_45,SWE,Human,Human,46,ST46,45,CC45
441459_Human_1156_12,441459_Human_1156_12,SWE,Human,Human,1156,ST1156,12,CC12
441461_Human_30_30,441461_Human_30_30,SWE,Human,Human,30,ST30,30,CC30
4414610_Human_30_30,4414610_Human_30_30,SWE,Human,Human,30,ST30,30,CC30
4414612_Human_15_15,4414612_Human_15_15,SWE,Human,Human,15,ST15,15,CC15
441462_Human_30_30,441462_Human_30_30,SWE,Human,Human,30,ST30,30,CC30
441463_Human_45_45,441463_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441464_Human_88_88,441464_Human_88_88,SWE,Human,Human,88,ST88,88,CC88
441465_Human_111_5,441465_Human_111_5,SWE,Human,Human,111,ST111,5,CC5
441466_Human_45_45,441466_Human_45_45,SWE,Human,Human,45,ST45,45,CC45
441467_Human_20_20,441467_Human_20_20,SWE,Human,Human,20,ST20,20,CC20
441469_Human_15_15,441469_Human_15_15,SWE,Human,Human,15,ST15,15,CC15
4415210_Human_1_1,4415210_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
4415212_Human_22_22,4415212_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441522_Human_15_15,441522_Human_15_15,GBR,Human,Human,15,ST15,15,CC15
441523_Human_22_22,441523_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441524_Human_22_22,441524_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441525_Human_2066_NA,441525_Human_2066_88,GBR,Human,Human,2066,ST2066,88,CC88
441526_Human_15_15,441526_Human_15_15,GBR,Human,Human,15,ST15,15,CC15
441527_Human_20_20,441527_Human_20_20,GBR,Human,Human,20,ST20,20,CC20
441528_Human_46_45,441528_Human_46_45,GBR,Human,Human,46,ST46,45,CC45
441529_Human_30_30,441529_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
441531_Human_22_22,441531_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
4415310_Human_1_1,4415310_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
4415311_Human_5_5,4415311_Human_5_5,GBR,Human,Human,5,ST5,5,CC5
4415312_Human_NA_22,4415312_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441532_Human_22_22,441532_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441533_Human_NA_22,441533_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441534_Human_22_22,441534_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441535_Human_22_22,441535_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441536_Human_22_22,441536_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441537_Human_22_22,441537_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
441538_Human_22_22,441538_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
443011_Human_45_45,443011_Human_45_45,DNK,Human,Human,45,ST45,45,CC45
4430110_Human_NA_398,4430110_Human_291_291,FRA,Human,Human,291,ST291,291,CC291
4430111_Human_22_22,4430111_Human_22_22,FRA,Human,Human,22,ST22,22,CC22
4430112_Human_1_1,4430112_Human_1_1,FRA,Human,Human,1,ST1,1,CC1
443012_Human_15_15,443012_Human_15_15,DNK,Human,Human,15,ST15,15,CC15
443013_Human_NA_1,443013_Human_1_1,FRA,Human,Human,1,ST1,1,CC1
443015_Human_30_30,443015_Human_30_30,FIN,Human,Human,30,ST30,30,CC30
443016_Human_5_5,443016_Human_5_5,FIN,Human,Human,5,ST5,5,CC5
443017_Human_NA_15,443017_Human_15_15,FIN,Human,Human,15,ST15,15,CC15
443019_Human_NA_22,443019_Human_22_22,FRA,Human,Human,22,ST22,22,CC22
443021_Human_72_72,443021_Human_72_8888,DEU,Human,Human,72,ST72,72,CC72
4430210_Human_225_5,4430210_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
